countryyearcode,INVPRIMARYTEACHERS,PRIMARYTEACHERS,INVLOWERTEACHERS,LOWERTEACHERS,INVUPPERTEACHERS,
AZE2017,0.066822443,14.96503194,0.147161383,6.795260974,0.09209746,10.85806271
AZE2018,0.064629476,15.47281605,0.143854255,6.951480153,0.09206159,10.8622934
AZE2019,0.062133724,16.09431935,0.142614918,7.011889181,0.084724313,11.80298737
AZE2020,0.059079936,16.92622012,0.136489569,7.32656721,0.081977307,12.19849779
AZE2021,0.058832553,16.9973926,0.128217728,7.799233497,0.077102291,12.96978317
AZE2022,,,,,,
BHS1980,0.038594379,25.91050903,,,,
BHS1981,0.039071699,25.59397304,,,,
BHS1982,0.035363156,28.27801911,,,,
BHS1983,0.048016057,20.82636656,,,,
BHS1984,0.049114989,20.36038339,,,,
BHS1985,0.050009611,19.99615631,,,,
BHS1986,0.057355232,17.43520091,,,,
BHS1987,,,,,,
BHS1988,,,,,,
BHS1989,,,,,,
BHS1990,,,,,,
BHS1991,,,,,,
BHS1992,,,,,,
BHS1993,,,,,,
BHS1994,0.044859972,22.2915876,,,,
BHS1995,0.042957563,23.27878788,,,,
BHS1996,,,,,,
BHS1997,,,,,,
BHS1998,,,,,,
BHS1999,0.068843171,14.52576891,0.051999062,19.23111612,0.047426024,21.08547009
BHS2000,,,,,,
BHS2001,,,,,,
BHS2002,0.055369082,18.060621,0.058420421,17.11730205,0.065392532,15.29226619
BHS2003,,,,,,
BHS2004,0.058567148,17.0744186,0.053835133,18.5752303,0.067954018,14.71583333
BHS2005,,,0.056621406,17.66116505,0.073818081,13.54681648
BHS2006,0.062441503,16.01498929,0.074558751,13.41224189,0.065791632,15.19950125
BHS2007,,,0.079715609,12.54459459,0.071935324,13.90137615
BHS2008,,,0.076727964,13.03305785,0.068688186,14.5585443
BHS2009,,,0.059152135,16.90556046,0.08749004,11.4298725
BHS2010,,,0.076408341,13.08757637,0.070941905,14.09604106
BHS2011,,,0.072115385,13.86666667,0.081165827,12.32045598
BHS2012,,,0.053782293,18.59348035,0.064939728,15.39889415
BHS2013,,,0.057578411,17.36762075,0.067373706,14.84258555
BHS2014,,,,,,
BHS2015,,,,,,
BHS2016,,,,,,
BHS2017,,,,,,
BHS2018,,,,,,
BHS2019,,,,,,
BHS2020,,,,,,
BHS2021,,,,,,
BHS2022,,,,,,
BHR1980,0.055564272,17.99717628,,,,
BHR1981,0.056899978,17.57469926,,,,
BHR1982,0.054705819,18.27959103,,,,
BHR1983,0.057363301,17.43274854,,,,
BHR1984,0.059549389,16.79278351,,,,
BHR1985,0.057896739,17.27213001,,,,
BHR1986,0.056048355,17.84173669,,,,
BHR1987,0.055592753,17.98795595,,,,
BHR1988,0.053418448,18.7201247,,,,
BHR1989,0.051426634,19.44517696,,,,
BHR1990,0.052735924,18.96240602,,,,
BHR1991,0.051742892,19.326326,,,,
BHR1992,0.04991344,20.03468395,,,,
BHR1993,0.051766177,19.31763285,,,,
BHR1994,0.051367629,19.46751329,,,,
BHR1995,0.052653523,18.99208145,,,,
